# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
699.251 2.9411e-19 9.25338e-24 1.43805e-13 7.73454e-10
699.242 2.97511e-19 9.46419e-24 1.45465e-13 7.91025e-10
699.233 3.00914e-19 9.67741e-24 1.47125e-13 8.08795e-10
699.224 3.0432e-19 9.89305e-24 1.48786e-13 8.26764e-10
699.215 3.07727e-19 1.01111e-23 1.50448e-13 8.44933e-10
699.206 3.11137e-19 1.03316e-23 1.52112e-13 8.63302e-10
699.198 3.14549e-19 1.05544e-23 1.53776e-13 8.81871e-10
699.189 3.17963e-19 1.07798e-23 1.55441e-13 9.00639e-10
699.18 3.21379e-19 1.10075e-23 1.57107e-13 9.19607e-10
699.171 3.24798e-19 1.12376e-23 1.58774e-13 9.38775e-10
699.162 3.28219e-19 1.14702e-23 1.60442e-13 9.58143e-10
699.153 3.31642e-19 1.17052e-23 1.62112e-13 9.77711e-10
699.145 3.35067e-19 1.19426e-23 1.63782e-13 9.9748e-10
699.136 3.38494e-19 1.21825e-23 1.65453e-13 1.01745e-09
699.127 3.41924e-19 1.24247e-23 1.67125e-13 1.03762e-09
699.118 3.45356e-19 1.26694e-23 1.68798e-13 1.05799e-09
699.109 3.4879e-19 1.29166e-23 1.70472e-13 1.07856e-09
699.1 3.52226e-19 1.31661e-23 1.72147e-13 1.09933e-09
699.092 3.55664e-19 1.34182e-23 1.73823e-13 1.1203e-09
699.083 3.59105e-19 1.36726e-23 1.755e-13 1.14147e-09
699.074 3.62548e-19 1.39295e-23 1.77179e-13 1.16284e-09
699.065 3.65993e-19 1.41888e-23 1.78858e-13 1.18441e-09
699.056 3.6944e-19 1.44505e-23 1.80538e-13 1.20619e-09
699.047 3.72889e-19 1.47147e-23 1.82219e-13 1.22816e-09
699.039 3.76341e-19 1.49814e-23 1.83901e-13 1.25034e-09
699.03 3.79795e-19 1.52504e-23 1.85584e-13 1.27271e-09
699.021 3.83251e-19 1.55219e-23 1.87268e-13 1.29529e-09
699.012 3.86709e-19 1.57959e-23 1.88953e-13 1.31807e-09
699.003 3.9017e-19 1.60723e-23 1.90639e-13 1.34105e-09
698.994 3.93633e-19 1.63512e-23 1.92326e-13 1.36423e-09
