# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
698.552 1.99372e-18 -7.19973e-23 9.72883e-13 -5.98797e-09
698.534 2.01877e-18 -7.22002e-23 9.8506e-13 -6.00409e-09
698.517 2.04386e-18 -7.23872e-23 9.97251e-13 -6.01888e-09
698.499 2.06898e-18 -7.25584e-23 1.00946e-12 -6.03234e-09
698.481 2.09413e-18 -7.27136e-23 1.02168e-12 -6.04448e-09
698.463 2.11932e-18 -7.2853e-23 1.03391e-12 -6.0553e-09
698.446 2.14454e-18 -7.29764e-23 1.04616e-12 -6.06478e-09
698.428 2.16979e-18 -7.30838e-23 1.05843e-12 -6.07294e-09
698.41 2.19507e-18 -7.31753e-23 1.0707e-12 -6.07978e-09
698.393 2.22038e-18 -7.32508e-23 1.083e-12 -6.08528e-09
698.375 2.24573e-18 -7.33104e-23 1.09531e-12 -6.08945e-09
698.357 2.27111e-18 -7.33539e-23 1.10763e-12 -6.09229e-09
698.339 2.29653e-18 -7.33813e-23 1.11997e-12 -6.0938e-09
698.322 2.32197e-18 -7.33928e-23 1.13232e-12 -6.09398e-09
698.304 2.34745e-18 -7.33881e-23 1.14468e-12 -6.09282e-09
698.286 2.37296e-18 -7.33674e-23 1.15707e-12 -6.09032e-09
698.268 2.39851e-18 -7.33306e-23 1.16946e-12 -6.08649e-09
698.251 2.42409e-18 -7.32777e-23 1.18187e-12 -6.08133e-09
698.233 2.4497e-18 -7.32086e-23 1.1943e-12 -6.07483e-09
698.215 2.47534e-18 -7.31234e-23 1.20674e-12 -6.06698e-09
698.197 2.50102e-18 -7.3022e-23 1.2192e-12 -6.0578e-09
698.18 2.52673e-18 -7.29044e-23 1.23167e-12 -6.04728e-09
698.162 2.55247e-18 -7.27707e-23 1.24415e-12 -6.03542e-09
698.144 2.57825e-18 -7.26207e-23 1.25665e-12 -6.02221e-09
698.127 2.60406e-18 -7.24544e-23 1.26917e-12 -6.00766e-09
698.109 2.6299e-18 -7.2272e-23 1.2817e-12 -5.99177e-09
698.091 2.65578e-18 -7.20732e-23 1.29424e-12 -5.97454e-09
698.073 2.68169e-18 -7.18582e-23 1.3068e-12 -5.95595e-09
698.056 2.70763e-18 -7.16268e-23 1.31938e-12 -5.93602e-09
698.038 2.73361e-18 -7.13792e-23 1.33197e-12 -5.91475e-09
698.02 2.75962e-18 -7.11152e-23 1.34457e-12 -5.89212e-09
698.002 2.78566e-18 -7.08348e-23 1.35719e-12 -5.86814e-09
697.985 2.81174e-18 -7.05381e-23 1.36983e-12 -5.84282e-09
697.967 2.83785e-18 -7.02249e-23 1.38248e-12 -5.81614e-09
697.949 2.86399e-18 -6.98954e-23 1.39514e-12 -5.78811e-09
697.931 2.89017e-18 -6.95494e-23 1.40783e-12 -5.75873e-09
697.913 2.91638e-18 -6.9187e-23 1.42052e-12 -5.72799e-09
697.896 2.94263e-18 -6.88081e-23 1.43323e-12 -5.6959e-09
697.878 2.96891e-18 -6.84128e-23 1.44596e-12 -5.66245e-09
697.86 2.99522e-18 -6.80009e-23 1.4587e-12 -5.62765e-09
