# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
700.017 6.4263e-21 2.30035e-27 3.14904e-15 1.93334e-13
700 1.28608e-20 9.20467e-27 6.30181e-15 7.73513e-13
699.982 1.93036e-20 2.07178e-26 9.45831e-15 1.7408e-12
699.965 2.57547e-20 3.68448e-26 1.26185e-14 3.09547e-12
699.947 3.22141e-20 5.75904e-26 1.57825e-14 4.83778e-12
699.929 3.86817e-20 8.29597e-26 1.89502e-14 6.968e-12
699.912 4.51576e-20 1.12957e-25 2.21217e-14 9.4864e-12
699.894 5.16419e-20 1.47589e-25 2.52969e-14 1.23932e-11
699.877 5.81345e-20 1.86858e-25 2.84758e-14 1.56888e-11
699.859 6.46354e-20 2.30771e-25 3.16586e-14 1.93733e-11
699.841 7.11446e-20 2.79333e-25 3.48451e-14 2.34471e-11
699.824 7.76622e-20 3.32547e-25 3.80353e-14 2.79104e-11
699.806 8.41882e-20 3.9042e-25 4.12294e-14 3.27635e-11
699.788 9.07226e-20 4.52956e-25 4.44272e-14 3.80067e-11
699.771 9.72653e-20 5.2016e-25 4.76288e-14 4.36401e-11
699.753 1.03816e-19 5.92037e-25 5.08342e-14 4.96642e-11
699.736 1.10376e-19 6.68592e-25 5.40434e-14 5.60791e-11
699.718 1.16944e-19 7.49831e-25 5.72564e-14 6.28852e-11
699.7 1.2352e-19 8.35758e-25 6.04732e-14 7.00827e-11
699.683 1.30105e-19 9.26377e-25 6.36938e-14 7.76719e-11
699.665 1.36699e-19 1.0217e-24 6.69182e-14 8.5653e-11
699.647 1.433e-19 1.12172e-24 7.01465e-14 9.40263e-11
699.63 1.49911e-19 1.22645e-24 7.33786e-14 1.02792e-10
699.612 1.56529e-19 1.33589e-24 7.66145e-14 1.11951e-10
699.595 1.63157e-19 1.45005e-24 7.98542e-14 1.21502e-10
699.577 1.69792e-19 1.56893e-24 8.30978e-14 1.31447e-10
699.559 1.76437e-19 1.69255e-24 8.63452e-14 1.41786e-10
699.542 1.8309e-19 1.82089e-24 8.95965e-14 1.52518e-10
699.524 1.89751e-19 1.95398e-24 9.28516e-14 1.63645e-10
699.506 1.96421e-19 2.0918e-24 9.61106e-14 1.75166e-10
699.489 2.03099e-19 2.23438e-24 9.93734e-14 1.87081e-10
699.471 2.09787e-19 2.38171e-24 1.0264e-13 1.99392e-10
699.454 2.16482e-19 2.5338e-24 1.05911e-13 2.12098e-10
699.436 2.23187e-19 2.69065e-24 1.09185e-13 2.25199e-10
699.418 2.299e-19 2.85227e-24 1.12464e-13 2.38696e-10
699.401 2.36621e-19 3.01867e-24 1.15746e-13 2.5259e-10
699.383 2.43351e-19 3.18984e-24 1.19032e-13 2.66879e-10
699.365 2.5009e-19 3.3658e-24 1.22322e-13 2.81565e-10
699.348 2.56838e-19 3.54655e-24 1.25616e-13 2.96648e-10
699.33 2.63594e-19 3.7321e-24 1.28914e-13 3.12129e-10
699.312 2.70359e-19 3.92244e-24 1.32216e-13 3.28006e-10
699.295 2.77132e-19 4.11759e-24 1.35521e-13 3.44282e-10
699.277 2.83914e-19 4.31755e-24 1.38831e-13 3.60955e-10
699.259 2.90705e-19 4.52232e-24 1.42144e-13 3.78027e-10
699.242 2.97505e-19 4.73191e-24 1.45462e-13 3.95497e-10
699.224 3.04314e-19 4.94633e-24 1.48783e-13 4.13366e-10
699.206 3.11131e-19 5.16558e-24 1.52109e-13 4.31635e-10
699.189 3.17957e-19 5.38967e-24 1.55438e-13 4.50302e-10
699.171 3.24792e-19 5.6186e-24 1.58771e-13 4.6937e-10
699.153 3.31635e-19 5.85237e-24 1.62108e-13 4.88837e-10
699.136 3.38488e-19 6.091e-24 1.6545e-13 5.08705e-10
699.118 3.45349e-19 6.33448e-24 1.68795e-13 5.28973e-10
699.1 3.52219e-19 6.58282e-24 1.72144e-13 5.49642e-10
699.083 3.59098e-19 6.83603e-24 1.75497e-13 5.70712e-10
699.065 3.65985e-19 7.09412e-24 1.78854e-13 5.92183e-10
699.047 3.72882e-19 7.35708e-24 1.82215e-13 6.14057e-10
699.03 3.79787e-19 7.62492e-24 1.8558e-13 6.36332e-10
699.012 3.86702e-19 7.89765e-24 1.88949e-13 6.59009e-10
698.994 3.93625e-19 8.17528e-24 1.92322e-13 6.82089e-10
698.977 4.00557e-19 8.4578e-24 1.957e-13 7.05571e-10
698.959 4.07498e-19 8.74523e-24 1.99081e-13 7.29457e-10
698.941 4.14448e-19 9.03757e-24 2.02466e-13 7.53746e-10
698.924 4.21407e-19 9.33482e-24 2.05855e-13 7.78439e-10
698.906 4.28375e-19 9.63699e-24 2.09248e-13 8.03536e-10
698.888 4.35352e-19 9.94409e-24 2.12645e-13 8.29037e-10
698.871 4.42338e-19 1.02561e-23 2.16047e-13 8.54942e-10
698.853 4.49333e-19 1.05731e-23 2.19452e-13 8.81253e-10
698.835 4.56336e-19 1.0895e-23 2.22861e-13 9.07968e-10
698.817 4.63349e-19 1.12218e-23 2.26275e-13 9.35089e-10
698.8 4.70371e-19 1.15536e-23 2.29692e-13 9.62615e-10
698.782 4.77402e-19 1.18904e-23 2.33114e-13 9.90548e-10
698.764 4.84442e-19 1.22321e-23 2.36539e-13 1.01889e-09
698.747 4.91491e-19 1.25788e-23 2.39969e-13 1.04763e-09
698.729 4.98549e-19 1.29305e-23 2.43403e-13 1.07678e-09
698.711 5.05617e-19 1.32871e-23 2.46841e-13 1.10634e-09
698.694 5.12693e-19 1.36487e-23 2.50283e-13 1.13631e-09
698.676 5.19778e-19 1.40154e-23 2.53729e-13 1.16668e-09
698.658 5.26873e-19 1.4387e-23 2.57179e-13 1.19747e-09
698.641 5.33977e-19 1.47636e-23 2.60633e-13 1.22866e-09
698.623 5.4109e-19 1.51452e-23 2.64092e-13 1.26026e-09
698.605 5.48212e-19 1.55318e-23 2.67554e-13 1.29226e-09
698.587 5.55343e-19 1.59235e-23 2.71021e-13 1.32468e-09
698.57 5.62483e-19 1.63201e-23 2.74492e-13 1.35751e-09
698.552 5.69633e-19 1.67218e-23 2.77967e-13 1.39074e-09
698.534 5.76792e-19 1.71285e-23 2.81446e-13 1.42439e-09
698.517 5.8396e-19 1.75403e-23 2.84929e-13 1.45845e-09
698.499 5.91137e-19 1.79571e-23 2.88416e-13 1.49291e-09
698.481 5.98324e-19 1.8379e-23 2.91908e-13 1.52779e-09
698.463 6.05519e-19 1.88059e-23 2.95403e-13 1.56308e-09
698.446 6.12724e-19 1.92378e-23 2.98903e-13 1.59878e-09
698.428 6.19939e-19 1.96749e-23 3.02407e-13 1.63489e-09
698.41 6.27163e-19 2.0117e-23 3.05915e-13 1.67142e-09
698.393 6.34395e-19 2.05641e-23 3.09428e-13 1.70836e-09
698.375 6.41638e-19 2.10164e-23 3.12944e-13 1.74571e-09
698.357 6.48889e-19 2.14738e-23 3.16465e-13 1.78347e-09
698.339 6.5615e-19 2.19362e-23 3.1999e-13 1.82165e-09
698.322 6.63421e-19 2.24037e-23 3.23519e-13 1.86024e-09
698.304 6.70701e-19 2.28764e-23 3.27053e-13 1.89924e-09
698.286 6.7799e-19 2.33541e-23 3.3059e-13 1.93866e-09
698.268 6.85288e-19 2.3837e-23 3.34132e-13 1.97849e-09
698.251 6.92596e-19 2.4325e-23 3.37678e-13 2.01874e-09
698.233 6.99913e-19 2.48181e-23 3.41228e-13 2.0594e-09
698.215 7.0724e-19 2.53164e-23 3.44783e-13 2.10048e-09
698.197 7.14576e-19 2.58197e-23 3.48342e-13 2.14197e-09
698.18 7.21922e-19 2.63283e-23 3.51905e-13 2.18388e-09
698.162 7.29277e-19 2.68419e-23 3.55472e-13 2.2262e-09
698.144 7.36642e-19 2.73608e-23 3.59043e-13 2.26895e-09
698.127 7.44016e-19 2.78848e-23 3.62619e-13 2.3121e-09
698.109 7.514e-19 2.84139e-23 3.66199e-13 2.35568e-09
698.091 7.58793e-19 2.89482e-23 3.69783e-13 2.39967e-09
698.073 7.66196e-19 2.94877e-23 3.73372e-13 2.44409e-09
698.056 7.73608e-19 3.00324e-23 3.76965e-13 2.48892e-09
698.038 7.8103e-19 3.05823e-23 3.80562e-13 2.53416e-09
698.02 7.88462e-19 3.11374e-23 3.84164e-13 2.57983e-09
698.002 7.95903e-19 3.16976e-23 3.87769e-13 2.62592e-09
697.985 8.03353e-19 3.22631e-23 3.9138e-13 2.67242e-09
697.967 8.10814e-19 3.28338e-23 3.94994e-13 2.71935e-09
697.949 8.18284e-19 3.34097e-23 3.98613e-13 2.76669e-09
697.931 8.25763e-19 3.39908e-23 4.02236e-13 2.81445e-09
697.913 8.33252e-19 3.45771e-23 4.05863e-13 2.86264e-09
697.896 8.40751e-19 3.51687e-23 4.09495e-13 2.91125e-09
697.878 8.4826e-19 3.57655e-23 4.13131e-13 2.96027e-09
697.86 8.55778e-19 3.63676e-23 4.16771e-13 3.00972e-09
697.842 8.63306e-19 3.69749e-23 4.20416e-13 3.05959e-09
697.825 8.70844e-19 3.75874e-23 4.24065e-13 3.10988e-09
697.807 8.78391e-19 3.82053e-23 4.27719e-13 3.1606e-09
697.789 8.85948e-19 3.88283e-23 4.31377e-13 3.21174e-09
697.771 8.93515e-19 3.94567e-23 4.35039e-13 3.2633e-09
697.754 9.01092e-19 4.00904e-23 4.38706e-13 3.31528e-09
697.736 9.08679e-19 4.07293e-23 4.42377e-13 3.36769e-09
697.718 9.16275e-19 4.13735e-23 4.46052e-13 3.42052e-09
697.7 9.23881e-19 4.2023e-23 4.49732e-13 3.47378e-09
697.682 9.31497e-19 4.26778e-23 4.53416e-13 3.52746e-09
697.665 9.39123e-19 4.3338e-23 4.57105e-13 3.58156e-09
697.647 9.46758e-19 4.40034e-23 4.60798e-13 3.63609e-09
697.629 9.54404e-19 4.46742e-23 4.64495e-13 3.69105e-09
697.611 9.62059e-19 4.53502e-23 4.68197e-13 3.74643e-09
697.594 9.69724e-19 4.60317e-23 4.71904e-13 3.80223e-09
697.576 9.774e-19 4.67184e-23 4.75614e-13 3.85847e-09
697.558 9.85085e-19 4.74105e-23 4.7933e-13 3.91513e-09
697.54 9.9278e-19 4.81079e-23 4.83049e-13 3.97222e-09
697.522 1.00048e-18 4.88107e-23 4.86773e-13 4.02973e-09
697.505 1.0082e-18 4.95189e-23 4.90502e-13 4.08767e-09
697.487 1.01592e-18 5.02324e-23 4.94235e-13 4.14605e-09
697.469 1.02366e-18 5.09513e-23 4.97973e-13 4.20484e-09
697.451 1.0314e-18 5.16756e-23 5.01715e-13 4.26407e-09
697.433 1.03916e-18 5.24052e-23 5.05461e-13 4.32373e-09
697.416 1.04692e-18 5.31403e-23 5.09212e-13 4.38381e-09
697.398 1.0547e-18 5.38807e-23 5.12968e-13 4.44433e-09
697.38 1.06248e-18 5.46265e-23 5.16727e-13 4.50527e-09
697.362 1.07028e-18 5.53778e-23 5.20492e-13 4.56665e-09
697.344 1.07808e-18 5.61344e-23 5.24261e-13 4.62846e-09
697.327 1.0859e-18 5.68965e-23 5.28035e-13 4.69069e-09
697.309 1.09373e-18 5.7664e-23 5.31813e-13 4.75336e-09
697.291 1.10156e-18 5.84369e-23 5.35595e-13 4.81646e-09
697.273 1.10941e-18 5.92153e-23 5.39382e-13 4.87999e-09
697.255 1.11726e-18 5.99991e-23 5.43174e-13 4.94395e-09
697.238 1.12513e-18 6.07884e-23 5.4697e-13 5.00835e-09
697.22 1.133e-18 6.15831e-23 5.50771e-13 5.07318e-09
697.202 1.14089e-18 6.23833e-23 5.54576e-13 5.13844e-09
697.184 1.14879e-18 6.31889e-23 5.58386e-13 5.20414e-09
697.166 1.15669e-18 6.4e-23 5.62201e-13 5.27026e-09
697.149 1.16461e-18 6.48166e-23 5.6602e-13 5.33683e-09
697.131 1.17254e-18 6.56387e-23 5.69843e-13 5.40382e-09
697.113 1.18048e-18 6.64663e-23 5.73671e-13 5.47126e-09
697.095 1.18842e-18 6.72994e-23 5.77504e-13 5.53912e-09
697.077 1.19638e-18 6.81379e-23 5.81342e-13 5.60742e-09
697.059 1.20435e-18 6.8982e-23 5.85184e-13 5.67616e-09
697.042 1.21233e-18 6.98316e-23 5.8903e-13 5.74534e-09
697.024 1.22032e-18 7.06867e-23 5.92882e-13 5.81495e-09
697.006 1.22832e-18 7.15473e-23 5.96738e-13 5.88499e-09
696.988 1.23633e-18 7.24135e-23 6.00598e-13 5.95548e-09
696.97 1.24435e-18 7.32852e-23 6.04463e-13 6.0264e-09
696.952 1.25238e-18 7.41625e-23 6.08333e-13 6.09776e-09
696.935 1.26042e-18 7.50453e-23 6.12207e-13 6.16955e-09
696.917 1.26847e-18 7.59337e-23 6.16087e-13 6.24179e-09
696.899 1.27653e-18 7.68276e-23 6.1997e-13 6.31446e-09
696.881 1.2846e-18 7.77271e-23 6.23859e-13 6.38757e-09
696.863 1.29269e-18 7.86322e-23 6.27752e-13 6.46112e-09
696.845 1.30078e-18 7.95428e-23 6.3165e-13 6.53512e-09
696.828 1.30888e-18 8.04591e-23 6.35552e-13 6.60955e-09
696.81 1.317e-18 8.13809e-23 6.39459e-13 6.68442e-09
696.792 1.32512e-18 8.23083e-23 6.43371e-13 6.75973e-09
696.774 1.33326e-18 8.32414e-23 6.47288e-13 6.83548e-09
696.756 1.3414e-18 8.418e-23 6.51209e-13 6.91168e-09
696.738 1.34956e-18 8.51243e-23 6.55135e-13 6.98831e-09
696.72 1.35772e-18 8.60742e-23 6.59066e-13 7.06539e-09
696.703 1.3659e-18 8.70298e-23 6.63001e-13 7.14291e-09
696.685 1.37409e-18 8.79909e-23 6.66941e-13 7.22087e-09
696.667 1.38229e-18 8.89577e-23 6.70886e-13 7.29928e-09
696.649 1.3905e-18 8.99302e-23 6.74836e-13 7.37812e-09
696.631 1.39872e-18 9.09083e-23 6.7879e-13 7.45742e-09
696.613 1.40695e-18 9.18921e-23 6.8275e-13 7.53715e-09
696.595 1.41519e-18 9.28816e-23 6.86713e-13 7.61733e-09
696.578 1.42344e-18 9.38767e-23 6.90682e-13 7.69796e-09
696.56 1.4317e-18 9.48775e-23 6.94656e-13 7.77902e-09
696.542 1.43998e-18 9.5884e-23 6.98634e-13 7.86054e-09
696.524 1.44826e-18 9.68962e-23 7.02617e-13 7.9425e-09
696.506 1.45655e-18 9.79141e-23 7.06605e-13 8.02491e-09
696.488 1.46486e-18 9.89377e-23 7.10598e-13 8.10776e-09
696.47 1.47318e-18 9.9967e-23 7.14595e-13 8.19106e-09
696.453 1.4815e-18 1.01002e-22 7.18597e-13 8.2748e-09
696.435 1.48984e-18 1.02043e-22 7.22604e-13 8.359e-09
696.417 1.49819e-18 1.03089e-22 7.26616e-13 8.44364e-09
696.399 1.50655e-18 1.04141e-22 7.30633e-13 8.52872e-09
696.381 1.51492e-18 1.05199e-22 7.34655e-13 8.61426e-09
696.363 1.5233e-18 1.06263e-22 7.38681e-13 8.70025e-09
696.345 1.53169e-18 1.07333e-22 7.42713e-13 8.78668e-09
696.327 1.54009e-18 1.08408e-22 7.46749e-13 8.87356e-09
696.31 1.54851e-18 1.09489e-22 7.5079e-13 8.9609e-09
696.292 1.55693e-18 1.10576e-22 7.54836e-13 9.04868e-09
696.274 1.56537e-18 1.11668e-22 7.58886e-13 9.13691e-09
696.256 1.57382e-18 1.12767e-22 7.62942e-13 9.2256e-09
696.238 1.58227e-18 1.13871e-22 7.67003e-13 9.31473e-09
696.22 1.59074e-18 1.14981e-22 7.71068e-13 9.40432e-09
696.202 1.59922e-18 1.16096e-22 7.75138e-13 9.49436e-09
696.184 1.60771e-18 1.17218e-22 7.79214e-13 9.58485e-09
696.166 1.61621e-18 1.18345e-22 7.83294e-13 9.67579e-09
696.149 1.62473e-18 1.19479e-22 7.87379e-13 9.76719e-09
696.131 1.63325e-18 1.20618e-22 7.91469e-13 9.85903e-09
696.113 1.64178e-18 1.21762e-22 7.95564e-13 9.95134e-09
696.095 1.65033e-18 1.22913e-22 7.99664e-13 1.00441e-08
696.077 1.65889e-18 1.2407e-22 8.03769e-13 1.01373e-08
696.059 1.66745e-18 1.25232e-22 8.07879e-13 1.0231e-08
696.041 1.67603e-18 1.26401e-22 8.11993e-13 1.03251e-08
696.023 1.68462e-18 1.27575e-22 8.16113e-13 1.04197e-08
696.005 1.69322e-18 1.28755e-22 8.20238e-13 1.05147e-08
695.987 1.70184e-18 1.29941e-22 8.24367e-13 1.06102e-08
695.97 1.71046e-18 1.31133e-22 8.28502e-13 1.07061e-08
695.952 1.7191e-18 1.3233e-22 8.32642e-13 1.08025e-08
695.934 1.72774e-18 1.33534e-22 8.36786e-13 1.08994e-08
695.916 1.7364e-18 1.34744e-22 8.40936e-13 1.09967e-08
695.898 1.74507e-18 1.35959e-22 8.45091e-13 1.10944e-08
695.88 1.75375e-18 1.3718e-22 8.4925e-13 1.11927e-08
695.862 1.76244e-18 1.38408e-22 8.53415e-13 1.12914e-08
695.844 1.77114e-18 1.39641e-22 8.57585e-13 1.13905e-08
695.826 1.77986e-18 1.4088e-22 8.6176e-13 1.14901e-08
695.808 1.78858e-18 1.42125e-22 8.6594e-13 1.15902e-08
695.79 1.79732e-18 1.43377e-22 8.70124e-13 1.16907e-08
695.772 1.80606e-18 1.44634e-22 8.74314e-13 1.17917e-08
695.755 1.81482e-18 1.45897e-22 8.78509e-13 1.18931e-08
695.737 1.82359e-18 1.47166e-22 8.82709e-13 1.1995e-08
695.719 1.83238e-18 1.48441e-22 8.86915e-13 1.20974e-08
695.701 1.84117e-18 1.49722e-22 8.91125e-13 1.22002e-08
695.683 1.84997e-18 1.51009e-22 8.9534e-13 1.23035e-08
695.665 1.85879e-18 1.52302e-22 8.99561e-13 1.24073e-08
695.647 1.86762e-18 1.53601e-22 9.03786e-13 1.25115e-08
695.629 1.87646e-18 1.54906e-22 9.08017e-13 1.26161e-08
695.611 1.88531e-18 1.56217e-22 9.12252e-13 1.27213e-08
695.593 1.89417e-18 1.57534e-22 9.16493e-13 1.28269e-08
695.575 1.90304e-18 1.58857e-22 9.20739e-13 1.2933e-08
695.557 1.91193e-18 1.60187e-22 9.24991e-13 1.30395e-08
695.539 1.92082e-18 1.61522e-22 9.29247e-13 1.31465e-08
695.521 1.92973e-18 1.62863e-22 9.33508e-13 1.32539e-08
695.503 1.93865e-18 1.6421e-22 9.37775e-13 1.33619e-08
695.485 1.94758e-18 1.65564e-22 9.42047e-13 1.34703e-08
695.468 1.95653e-18 1.66923e-22 9.46324e-13 1.35791e-08
695.45 1.96548e-18 1.68289e-22 9.50606e-13 1.36884e-08
695.432 1.97445e-18 1.69661e-22 9.54893e-13 1.37982e-08
695.414 1.98343e-18 1.71038e-22 9.59185e-13 1.39085e-08
695.396 1.99242e-18 1.72422e-22 9.63483e-13 1.40192e-08
695.378 2.00142e-18 1.73812e-22 9.67786e-13 1.41304e-08
695.36 2.01043e-18 1.75208e-22 9.72094e-13 1.42421e-08
695.342 2.01946e-18 1.76611e-22 9.76407e-13 1.43542e-08
695.324 2.02849e-18 1.78019e-22 9.80726e-13 1.44668e-08
695.306 2.03754e-18 1.79434e-22 9.8505e-13 1.45799e-08
695.288 2.0466e-18 1.80854e-22 9.89379e-13 1.46934e-08
695.27 2.05567e-18 1.82281e-22 9.93713e-13 1.48074e-08
695.252 2.06476e-18 1.83714e-22 9.98052e-13 1.49219e-08
695.234 2.07385e-18 1.85153e-22 1.0024e-12 1.50368e-08
695.216 2.08296e-18 1.86599e-22 1.00675e-12 1.51523e-08
695.198 2.09208e-18 1.8805e-22 1.0111e-12 1.52682e-08
695.18 2.10121e-18 1.89508e-22 1.01546e-12 1.53845e-08
695.162 2.11035e-18 1.90972e-22 1.01983e-12 1.55014e-08
695.144 2.11951e-18 1.92442e-22 1.0242e-12 1.56187e-08
695.126 2.12867e-18 1.93918e-22 1.02858e-12 1.57365e-08
695.108 2.13785e-18 1.95401e-22 1.03296e-12 1.58547e-08
695.09 2.14704e-18 1.96889e-22 1.03735e-12 1.59734e-08
695.072 2.15625e-18 1.98384e-22 1.04174e-12 1.60926e-08
695.054 2.16546e-18 1.99886e-22 1.04614e-12 1.62123e-08
695.036 2.17469e-18 2.01393e-22 1.05054e-12 1.63325e-08
695.018 2.18393e-18 2.02907e-22 1.05495e-12 1.64531e-08
695 2.19318e-18 2.04427e-22 1.05936e-12 1.65742e-08
694.982 2.20244e-18 2.05953e-22 1.06378e-12 1.66958e-08
694.964 2.21171e-18 2.07485e-22 1.0682e-12 1.68178e-08
694.946 2.221e-18 2.09024e-22 1.07263e-12 1.69404e-08
694.928 2.2303e-18 2.10569e-22 1.07707e-12 1.70634e-08
694.91 2.23961e-18 2.12121e-22 1.08151e-12 1.71869e-08
694.892 2.24893e-18 2.13678e-22 1.08596e-12 1.73108e-08
694.874 2.25827e-18 2.15242e-22 1.09041e-12 1.74353e-08
694.856 2.26762e-18 2.16812e-22 1.09486e-12 1.75602e-08
694.838 2.27698e-18 2.18389e-22 1.09933e-12 1.76856e-08
694.82 2.28635e-18 2.19972e-22 1.10379e-12 1.78115e-08
694.802 2.29573e-18 2.21561e-22 1.10827e-12 1.79379e-08
694.784 2.30513e-18 2.23157e-22 1.11274e-12 1.80647e-08
694.766 2.31454e-18 2.24759e-22 1.11723e-12 1.8192e-08
694.748 2.32396e-18 2.26367e-22 1.12172e-12 1.83198e-08
694.73 2.33339e-18 2.27982e-22 1.12621e-12 1.84481e-08
694.712 2.34284e-18 2.29603e-22 1.13071e-12 1.85769e-08
694.694 2.3523e-18 2.3123e-22 1.13522e-12 1.87061e-08
694.676 2.36177e-18 2.32864e-22 1.13973e-12 1.88359e-08
694.658 2.37125e-18 2.34504e-22 1.14425e-12 1.89661e-08
694.64 2.38074e-18 2.36151e-22 1.14877e-12 1.90968e-08
694.622 2.39025e-18 2.37804e-22 1.1533e-12 1.92279e-08
694.604 2.39977e-18 2.39463e-22 1.15783e-12 1.93596e-08
694.586 2.4093e-18 2.41129e-22 1.16237e-12 1.94918e-08
694.568 2.41885e-18 2.42801e-22 1.16691e-12 1.96244e-08
694.55 2.4284e-18 2.4448e-22 1.17146e-12 1.97575e-08
694.532 2.43797e-18 2.46165e-22 1.17602e-12 1.98911e-08
694.514 2.44755e-18 2.47857e-22 1.18058e-12 2.00252e-08
694.496 2.45715e-18 2.49555e-22 1.18514e-12 2.01598e-08
694.478 2.46675e-18 2.51259e-22 1.18972e-12 2.02948e-08
694.46 2.47637e-18 2.5297e-22 1.19429e-12 2.04304e-08
694.442 2.48601e-18 2.54688e-22 1.19888e-12 2.05664e-08
694.424 2.49565e-18 2.56412e-22 1.20346e-12 2.07029e-08
694.406 2.50531e-18 2.58142e-22 1.20806e-12 2.084e-08
