# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
699.947 1.12732e-19 -1.44816e-24 5.52304e-14 -1.2165e-10
699.859 2.26189e-19 -2.82342e-24 1.10788e-13 -2.37027e-10
699.771 3.40377e-19 -4.12539e-24 1.66675e-13 -3.46111e-10
699.683 4.55299e-19 -5.3537e-24 2.22894e-13 -4.4888e-10
699.595 5.70961e-19 -6.50796e-24 2.79447e-13 -5.45315e-10
699.507 6.87368e-19 -7.58778e-24 3.36335e-13 -6.35395e-10
699.418 8.04524e-19 -8.59278e-24 3.93562e-13 -7.19099e-10
699.33 9.22435e-19 -9.52255e-24 4.51129e-13 -7.96405e-10
699.242 1.04111e-18 -1.03767e-23 5.09038e-13 -8.67294e-10
699.154 1.16054e-18 -1.11548e-23 5.67291e-13 -9.31743e-10
699.065 1.28075e-18 -1.18566e-23 6.25892e-13 -9.89732e-10
698.977 1.40173e-18 -1.24815e-23 6.84841e-13 -1.04124e-09
698.888 1.52349e-18 -1.30292e-23 7.44142e-13 -1.08624e-09
698.8 1.64604e-18 -1.34992e-23 8.03796e-13 -1.12472e-09
698.712 1.76938e-18 -1.38913e-23 8.63806e-13 -1.15665e-09
698.623 1.89351e-18 -1.42048e-23 9.24174e-13 -1.18201e-09
698.534 2.01845e-18 -1.44395e-23 9.84903e-13 -1.20078e-09
698.446 2.14419e-18 -1.4595e-23 1.04599e-12 -1.21293e-09
698.357 2.27075e-18 -1.46707e-23 1.10745e-12 -1.21845e-09
698.269 2.39812e-18 -1.46663e-23 1.16927e-12 -1.21731e-09
698.18 2.52632e-18 -1.45813e-23 1.23147e-12 -1.20949e-09
698.091 2.65534e-18 -1.44153e-23 1.29403e-12 -1.19497e-09
698.003 2.7852e-18 -1.4168e-23 1.35697e-12 -1.17371e-09
697.914 2.91591e-18 -1.38387e-23 1.42029e-12 -1.14571e-09
697.825 3.04745e-18 -1.34272e-23 1.48399e-12 -1.11094e-09
697.736 3.17985e-18 -1.2933e-23 1.54806e-12 -1.06936e-09
697.647 3.31311e-18 -1.23556e-23 1.61253e-12 -1.02097e-09
697.558 3.44722e-18 -1.16946e-23 1.67738e-12 -9.65736e-10
697.469 3.58221e-18 -1.09495e-23 1.74262e-12 -9.03632e-10
697.38 3.71807e-18 -1.012e-23 1.80825e-12 -8.34637e-10
697.291 3.85482e-18 -9.2054e-24 1.87427e-12 -7.58725e-10
697.202 3.99245e-18 -8.20543e-24 1.94069e-12 -6.75874e-10
697.113 4.13097e-18 -7.11958e-24 2.00751e-12 -5.86059e-10
697.024 4.27039e-18 -5.94738e-24 2.07474e-12 -4.89255e-10
696.935 4.41071e-18 -4.68837e-24 2.14236e-12 -3.85437e-10
696.846 4.55195e-18 -3.34209e-24 2.2104e-12 -2.74582e-10
696.757 4.6941e-18 -1.90805e-24 2.27884e-12 -1.56663e-10
696.667 4.83718e-18 -3.85797e-25 2.3477e-12 -3.1656e-11
696.578 4.98118e-18 1.22516e-24 2.41697e-12 1.00464e-10
696.489 5.12612e-18 2.9253e-24 2.48667e-12 2.39724e-10
696.4 5.27201e-18 4.7151e-24 2.55678e-12 3.86148e-10
696.31 5.41884e-18 6.59506e-24 2.62731e-12 5.39762e-10
696.221 5.56662e-18 8.56565e-24 2.69827e-12 7.00592e-10
696.131 5.71537e-18 1.06274e-23 2.76966e-12 8.68664e-10
696.042 5.86509e-18 1.27807e-23 2.84148e-12 1.044e-09
695.952 6.01577e-18 1.50262e-23 2.91374e-12 1.22664e-09
695.863 6.16744e-18 1.73643e-23 2.98643e-12 1.4166e-09
695.773 6.3201e-18 1.97956e-23 3.05956e-12 1.6139e-09
695.683 6.47375e-18 2.23205e-23 3.13314e-12 1.81858e-09
695.594 6.62841e-18 2.49395e-23 3.20716e-12 2.03066e-09
695.504 6.78407e-18 2.76532e-23 3.28163e-12 2.25017e-09
695.414 6.94074e-18 3.04621e-23 3.35655e-12 2.47713e-09
695.325 7.09844e-18 3.33668e-23 3.43193e-12 2.71158e-09
695.235 7.25717e-18 3.63676e-23 3.50776e-12 2.95354e-09
695.145 7.41693e-18 3.94652e-23 3.58406e-12 3.20303e-09
695.055 7.57773e-18 4.26601e-23 3.66081e-12 3.4601e-09
694.965 7.73958e-18 4.59529e-23 3.73804e-12 3.72476e-09
694.875 7.90249e-18 4.9344e-23 3.81573e-12 3.99704e-09
694.785 8.06647e-18 5.2834e-23 3.8939e-12 4.27697e-09
694.695 8.23151e-18 5.64235e-23 3.97254e-12 4.56459e-09
694.605 8.39763e-18 6.0113e-23 4.05166e-12 4.85991e-09
694.515 8.56484e-18 6.3903e-23 4.13126e-12 5.16297e-09
694.425 8.73315e-18 6.77941e-23 4.21135e-12 5.4738e-09
