# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
7.60296e+07 3.7434e-33 2.61597e-36 2.16387e-17 3.02696e-24
7.60159e+07 3.80908e-33 2.68931e-36 2.20104e-17 3.10901e-24
7.60021e+07 3.87535e-33 2.76387e-36 2.23853e-17 3.19233e-24
7.59884e+07 3.94222e-33 2.83968e-36 2.27633e-17 3.27691e-24
7.59746e+07 4.0097e-33 2.91673e-36 2.31446e-17 3.36278e-24
7.59609e+07 4.07779e-33 2.99503e-36 2.3529e-17 3.44993e-24
7.59471e+07 4.14648e-33 3.07461e-36 2.39168e-17 3.53838e-24
7.59333e+07 4.21581e-33 3.15546e-36 2.43078e-17 3.62814e-24
7.59195e+07 4.28575e-33 3.2376e-36 2.47021e-17 3.7192e-24
7.59057e+07 4.35633e-33 3.32103e-36 2.50998e-17 3.81158e-24
7.58919e+07 4.42755e-33 3.40578e-36 2.55008e-17 3.90529e-24
7.58781e+07 4.49941e-33 3.49184e-36 2.59053e-17 4.00034e-24
7.58643e+07 4.57192e-33 3.57924e-36 2.63132e-17 4.09673e-24
7.58504e+07 4.64509e-33 3.66797e-36 2.67246e-17 4.19446e-24
7.58366e+07 4.71892e-33 3.75806e-36 2.71394e-17 4.29356e-24
7.58228e+07 4.79342e-33 3.8495e-36 2.75578e-17 4.39403e-24
7.58089e+07 4.8686e-33 3.94232e-36 2.79798e-17 4.49587e-24
7.57951e+07 4.94446e-33 4.03653e-36 2.84054e-17 4.59909e-24
7.57812e+07 5.021e-33 4.13212e-36 2.88346e-17 4.70371e-24
7.57673e+07 5.09824e-33 4.22913e-36 2.92674e-17 4.80972e-24
7.57534e+07 5.17618e-33 4.32755e-36 2.9704e-17 4.91715e-24
7.57396e+07 5.25483e-33 4.4274e-36 3.01442e-17 5.026e-24
7.57257e+07 5.3342e-33 4.52869e-36 3.05883e-17 5.13627e-24
7.57118e+07 5.41428e-33 4.63143e-36 3.10361e-17 5.24797e-24
7.56978e+07 5.49509e-33 4.73564e-36 3.14878e-17 5.36112e-24
7.56839e+07 5.57664e-33 4.84132e-36 3.19433e-17 5.47573e-24
7.567e+07 5.65893e-33 4.94849e-36 3.24028e-17 5.5918e-24
7.56561e+07 5.74197e-33 5.05716e-36 3.28661e-17 5.70933e-24
7.56421e+07 5.82577e-33 5.16735e-36 3.33335e-17 5.82835e-24
7.56282e+07 5.91033e-33 5.27905e-36 3.38048e-17 5.94886e-24
7.56142e+07 5.99566e-33 5.3923e-36 3.42802e-17 6.07087e-24
7.56002e+07 6.08177e-33 5.50709e-36 3.47597e-17 6.19438e-24
7.55863e+07 6.16866e-33 5.62344e-36 3.52433e-17 6.31941e-24
7.55723e+07 6.25634e-33 5.74137e-36 3.5731e-17 6.44597e-24
7.55583e+07 6.34483e-33 5.86089e-36 3.6223e-17 6.57407e-24
7.55443e+07 6.43412e-33 5.98201e-36 3.67192e-17 6.70371e-24
7.55303e+07 6.52423e-33 6.10474e-36 3.72196e-17 6.83491e-24
7.55163e+07 6.61517e-33 6.2291e-36 3.77244e-17 6.96768e-24
7.55023e+07 6.70693e-33 6.3551e-36 3.82335e-17 7.10202e-24
7.54882e+07 6.79954e-33 6.48275e-36 3.8747e-17 7.23795e-24
7.54742e+07 6.89299e-33 6.61207e-36 3.92649e-17 7.37547e-24
7.54602e+07 6.98729e-33 6.74307e-36 3.97873e-17 7.5146e-24
7.54461e+07 7.08246e-33 6.87577e-36 4.03142e-17 7.65535e-24
7.54321e+07 7.1785e-33 7.01017e-36 4.08456e-17 7.79772e-24
7.5418e+07 7.27542e-33 7.1463e-36 4.13817e-17 7.94173e-24
7.54039e+07 7.37323e-33 7.28416e-36 4.19224e-17 8.08739e-24
7.53898e+07 7.47194e-33 7.42377e-36 4.24677e-17 8.23471e-24
7.53757e+07 7.57155e-33 7.56516e-36 4.30178e-17 8.38369e-24
7.53616e+07 7.67208e-33 7.70832e-36 4.35726e-17 8.53436e-24
7.53475e+07 7.77353e-33 7.85327e-36 4.41323e-17 8.68671e-24
7.53334e+07 7.87591e-33 8.00004e-36 4.46968e-17 8.84077e-24
7.53193e+07 7.97923e-33 8.14863e-36 4.52661e-17 8.99654e-24
7.53052e+07 8.0835e-33 8.29906e-36 4.58405e-17 9.15403e-24
7.5291e+07 8.18873e-33 8.45135e-36 4.64198e-17 9.31326e-24
7.52769e+07 8.29493e-33 8.60551e-36 4.70041e-17 9.47424e-24
7.52627e+07 8.40211e-33 8.76155e-36 4.75935e-17 9.63697e-24
7.52486e+07 8.51027e-33 8.91949e-36 4.81881e-17 9.80147e-24
7.52344e+07 8.61943e-33 9.07936e-36 4.87878e-17 9.96775e-24
7.52202e+07 8.72959e-33 9.24116e-36 4.93927e-17 1.01358e-23
7.5206e+07 8.84077e-33 9.4049e-36 5.00029e-17 1.03057e-23
7.51918e+07 8.95297e-33 9.57062e-36 5.06184e-17 1.04774e-23
7.51776e+07 9.06621e-33 9.73831e-36 5.12393e-17 1.06509e-23
7.51634e+07 9.1805e-33 9.90801e-36 5.18656e-17 1.08263e-23
7.51492e+07 9.29584e-33 1.00797e-35 5.24973e-17 1.10035e-23
7.5135e+07 9.41224e-33 1.02535e-35 5.31346e-17 1.11826e-23
7.51207e+07 9.52972e-33 1.04293e-35 5.37774e-17 1.13635e-23
7.51065e+07 9.64829e-33 1.06071e-35 5.44259e-17 1.15463e-23
7.50922e+07 9.76795e-33 1.07871e-35 5.508e-17 1.17311e-23
7.5078e+07 9.88872e-33 1.09691e-35 5.57398e-17 1.19177e-23
7.50637e+07 1.00106e-32 1.11533e-35 5.64054e-17 1.21063e-23
7.50494e+07 1.01336e-32 1.13396e-35 5.70768e-17 1.22969e-23
7.50352e+07 1.02578e-32 1.1528e-35 5.77541e-17 1.24893e-23
7.50209e+07 1.03831e-32 1.17187e-35 5.84373e-17 1.26838e-23
7.50066e+07 1.05095e-32 1.19115e-35 5.91266e-17 1.28802e-23
7.49923e+07 1.06372e-32 1.21065e-35 5.98218e-17 1.30786e-23
7.4978e+07 1.0766e-32 1.23038e-35 6.05232e-17 1.3279e-23
7.49636e+07 1.0896e-32 1.25033e-35 6.12307e-17 1.34815e-23
7.49493e+07 1.10272e-32 1.27051e-35 6.19444e-17 1.36859e-23
7.4935e+07 1.11597e-32 1.29091e-35 6.26644e-17 1.38924e-23
7.49206e+07 1.12934e-32 1.31155e-35 6.33908e-17 1.4101e-23
7.49062e+07 1.14283e-32 1.33242e-35 6.41235e-17 1.43117e-23
7.48919e+07 1.15645e-32 1.35352e-35 6.48626e-17 1.45244e-23
7.48775e+07 1.17019e-32 1.37486e-35 6.56083e-17 1.47392e-23
7.48631e+07 1.18406e-32 1.39644e-35 6.63605e-17 1.49562e-23
7.48487e+07 1.19806e-32 1.41826e-35 6.71194e-17 1.51753e-23
7.48343e+07 1.21219e-32 1.44032e-35 6.78849e-17 1.53965e-23
7.48199e+07 1.22646e-32 1.46262e-35 6.86572e-17 1.56199e-23
7.48055e+07 1.24085e-32 1.48517e-35 6.94363e-17 1.58455e-23
7.47911e+07 1.25538e-32 1.50797e-35 7.02223e-17 1.60732e-23
7.47767e+07 1.27005e-32 1.53103e-35 7.10153e-17 1.63032e-23
7.47622e+07 1.28485e-32 1.55433e-35 7.18152e-17 1.65354e-23
7.47478e+07 1.29979e-32 1.57789e-35 7.26222e-17 1.67698e-23
7.47333e+07 1.31487e-32 1.60171e-35 7.34363e-17 1.70065e-23
7.47189e+07 1.33009e-32 1.62579e-35 7.42577e-17 1.72454e-23
7.47044e+07 1.34545e-32 1.65013e-35 7.50863e-17 1.74867e-23
7.46899e+07 1.36096e-32 1.67473e-35 7.59223e-17 1.77302e-23
7.46754e+07 1.37661e-32 1.69959e-35 7.67656e-17 1.7976e-23
7.46609e+07 1.39241e-32 1.72473e-35 7.76164e-17 1.82241e-23
7.46464e+07 1.40836e-32 1.75013e-35 7.84748e-17 1.84746e-23
7.46319e+07 1.42445e-32 1.77581e-35 7.93408e-17 1.87275e-23
7.46174e+07 1.4407e-32 1.80177e-35 8.02145e-17 1.89827e-23
7.46028e+07 1.4571e-32 1.828e-35 8.10959e-17 1.92403e-23
7.45883e+07 1.47365e-32 1.85452e-35 8.19852e-17 1.95004e-23
7.45737e+07 1.49036e-32 1.88131e-35 8.28824e-17 1.97629e-23
7.45592e+07 1.50722e-32 1.9084e-35 8.37876e-17 2.00279e-23
7.45446e+07 1.52425e-32 1.93577e-35 8.47008e-17 2.02953e-23
7.453e+07 1.54143e-32 1.96343e-35 8.56221e-17 2.05652e-23
7.45155e+07 1.55877e-32 1.99139e-35 8.65516e-17 2.08376e-23
7.45009e+07 1.57628e-32 2.01963e-35 8.74895e-17 2.11125e-23
7.44863e+07 1.59395e-32 2.04818e-35 8.84357e-17 2.13899e-23
7.44716e+07 1.61179e-32 2.07702e-35 8.93903e-17 2.16698e-23
7.4457e+07 1.6298e-32 2.10616e-35 9.03534e-17 2.19522e-23
7.44424e+07 1.64797e-32 2.1356e-35 9.13252e-17 2.22373e-23
7.44278e+07 1.66632e-32 2.16535e-35 9.23056e-17 2.25249e-23
7.44131e+07 1.68484e-32 2.19542e-35 9.32947e-17 2.28152e-23
7.43985e+07 1.70353e-32 2.2258e-35 9.42928e-17 2.31082e-23
7.43838e+07 1.7224e-32 2.25651e-35 9.52997e-17 2.34039e-23
7.43691e+07 1.74145e-32 2.28753e-35 9.63157e-17 2.37023e-23
