# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
699.947 3.22092e-20 1.15146e-26 1.57801e-14 9.67264e-13
699.859 6.46256e-20 4.61403e-26 3.16538e-14 3.8735e-12
699.771 9.72505e-20 1.04e-25 4.76216e-14 8.72539e-12
699.683 1.30085e-19 1.85219e-25 6.36841e-14 1.55297e-11
699.595 1.63132e-19 2.89922e-25 7.9842e-14 2.42931e-11
699.507 1.96391e-19 4.18234e-25 9.60958e-14 3.50225e-11
699.418 2.29864e-19 5.70281e-25 1.12446e-13 4.77248e-11
699.33 2.63553e-19 7.46192e-25 1.28894e-13 6.24068e-11
699.242 2.97459e-19 9.46095e-25 1.45439e-13 7.90754e-11
699.154 3.31584e-19 1.17012e-24 1.62083e-13 9.77377e-11
699.065 3.65928e-19 1.41839e-24 1.78826e-13 1.18401e-10
698.977 4.00494e-19 1.69104e-24 1.95669e-13 1.41071e-10
698.888 4.35283e-19 1.98821e-24 2.12612e-13 1.65757e-10
698.8 4.70297e-19 2.31002e-24 2.29656e-13 1.92464e-10
698.712 5.05536e-19 2.65661e-24 2.46802e-13 2.21201e-10
698.623 5.41003e-19 3.02811e-24 2.6405e-13 2.51974e-10
698.534 5.767e-19 3.42465e-24 2.81401e-13 2.84791e-10
698.446 6.12626e-19 3.84638e-24 2.98855e-13 3.19658e-10
698.357 6.48785e-19 4.29343e-24 3.16414e-13 3.56585e-10
698.269 6.85177e-19 4.76593e-24 3.34078e-13 3.95576e-10
698.18 7.21805e-19 5.26403e-24 3.51848e-13 4.36642e-10
698.091 7.5867e-19 5.78786e-24 3.69724e-13 4.79788e-10
698.003 7.95773e-19 6.33756e-24 3.87707e-13 5.25022e-10
697.914 8.33116e-19 6.91328e-24 4.05797e-13 5.72352e-10
697.825 8.70701e-19 7.51515e-24 4.23996e-13 6.21785e-10
697.736 9.08529e-19 8.14333e-24 4.42304e-13 6.7333e-10
697.647 9.46602e-19 8.79794e-24 4.60722e-13 7.26994e-10
697.558 9.84921e-19 9.47914e-24 4.79251e-13 7.82784e-10
697.469 1.02349e-18 1.01871e-23 4.9789e-13 8.40709e-10
697.38 1.06231e-18 1.09219e-23 5.16642e-13 9.00776e-10
697.291 1.10138e-18 1.16837e-23 5.35506e-13 9.62994e-10
697.202 1.1407e-18 1.24728e-23 5.54484e-13 1.02737e-09
697.113 1.18028e-18 1.32891e-23 5.73575e-13 1.09391e-09
697.024 1.22011e-18 1.41329e-23 5.92782e-13 1.16263e-09
696.935 1.2602e-18 1.50043e-23 6.12104e-13 1.23353e-09
696.846 1.30056e-18 1.59036e-23 6.31543e-13 1.30662e-09
696.757 1.34117e-18 1.68307e-23 6.51099e-13 1.3819e-09
696.667 1.38205e-18 1.77859e-23 6.70772e-13 1.4594e-09
696.578 1.42319e-18 1.87694e-23 6.90564e-13 1.53911e-09
696.489 1.46461e-18 1.97813e-23 7.10476e-13 1.62105e-09
696.4 1.50629e-18 2.08217e-23 7.30508e-13 1.70521e-09
696.31 1.54824e-18 2.18908e-23 7.5066e-13 1.79162e-09
696.221 1.59046e-18 2.29888e-23 7.70935e-13 1.88028e-09
696.131 1.63296e-18 2.41159e-23 7.91332e-13 1.97119e-09
696.042 1.67574e-18 2.52721e-23 8.11852e-13 2.06437e-09
695.952 1.71879e-18 2.64577e-23 8.32496e-13 2.15982e-09
695.863 1.76213e-18 2.76727e-23 8.53266e-13 2.25756e-09
