# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
700.026 1.12426e-20 -1.48111e-24 5.5093e-15 -1.24488e-10
700.017 2.24925e-20 -2.95496e-24 1.10219e-14 -2.48351e-10
700.009 3.37495e-20 -4.42155e-24 1.65377e-14 -3.71588e-10
700 4.50138e-20 -5.88087e-24 2.20568e-14 -4.94198e-10
699.991 5.62853e-20 -7.33292e-24 2.75791e-14 -6.16182e-10
699.982 6.7564e-20 -8.7777e-24 3.31047e-14 -7.3754e-10
699.973 7.885e-20 -1.02152e-23 3.86336e-14 -8.58271e-10
699.965 9.01432e-20 -1.16454e-23 4.41657e-14 -9.78375e-10
699.956 1.01444e-19 -1.30684e-23 4.97011e-14 -1.09785e-09
699.947 1.12751e-19 -1.4484e-23 5.52398e-14 -1.2167e-09
699.938 1.24066e-19 -1.58924e-23 6.07818e-14 -1.33492e-09
699.929 1.35389e-19 -1.72934e-23 6.6327e-14 -1.45252e-09
699.921 1.46718e-19 -1.86872e-23 7.18755e-14 -1.56949e-09
699.912 1.58055e-19 -2.00736e-23 7.74273e-14 -1.68582e-09
699.903 1.69399e-19 -2.14528e-23 8.29824e-14 -1.80153e-09
699.894 1.8075e-19 -2.28246e-23 8.85407e-14 -1.91662e-09
699.885 1.92109e-19 -2.41891e-23 9.41024e-14 -2.03107e-09
699.877 2.03474e-19 -2.55463e-23 9.96673e-14 -2.14489e-09
699.868 2.14848e-19 -2.68962e-23 1.05236e-13 -2.25809e-09
699.859 2.26228e-19 -2.82387e-23 1.10807e-13 -2.37065e-09
699.85 2.37616e-19 -2.95739e-23 1.16382e-13 -2.48259e-09
699.841 2.49011e-19 -3.09018e-23 1.2196e-13 -2.59389e-09
699.833 2.60413e-19 -3.22224e-23 1.27541e-13 -2.70457e-09
699.824 2.71823e-19 -3.35356e-23 1.33126e-13 -2.81462e-09
699.815 2.8324e-19 -3.48414e-23 1.38714e-13 -2.92403e-09
699.806 2.94664e-19 -3.61399e-23 1.44306e-13 -3.03282e-09
699.797 3.06096e-19 -3.74311e-23 1.499e-13 -3.14097e-09
699.788 3.17535e-19 -3.87149e-23 1.55498e-13 -3.24849e-09
699.78 3.28981e-19 -3.99913e-23 1.61099e-13 -3.35538e-09
699.771 3.40435e-19 -4.12604e-23 1.66704e-13 -3.46164e-09
699.762 3.51896e-19 -4.25221e-23 1.72312e-13 -3.56727e-09
699.753 3.63365e-19 -4.37764e-23 1.77923e-13 -3.67227e-09
699.744 3.7484e-19 -4.50234e-23 1.83538e-13 -3.77664e-09
699.736 3.86323e-19 -4.62629e-23 1.89156e-13 -3.88037e-09
699.727 3.97814e-19 -4.74951e-23 1.94777e-13 -3.98347e-09
699.718 4.09312e-19 -4.87199e-23 2.00401e-13 -4.08594e-09
699.709 4.20817e-19 -4.99373e-23 2.06029e-13 -4.18777e-09
699.7 4.3233e-19 -5.11473e-23 2.1166e-13 -4.28897e-09
699.692 4.4385e-19 -5.23499e-23 2.17295e-13 -4.38954e-09
699.683 4.55377e-19 -5.35451e-23 2.22933e-13 -4.48948e-09
699.674 4.66912e-19 -5.47329e-23 2.28574e-13 -4.58878e-09
699.665 4.78454e-19 -5.59133e-23 2.34218e-13 -4.68745e-09
699.656 4.90004e-19 -5.70863e-23 2.39866e-13 -4.78548e-09
699.647 5.01561e-19 -5.82518e-23 2.45517e-13 -4.88288e-09
699.639 5.13126e-19 -5.941e-23 2.51172e-13 -4.97964e-09
699.63 5.24697e-19 -6.05607e-23 2.5683e-13 -5.07577e-09
699.621 5.36277e-19 -6.17039e-23 2.62491e-13 -5.17127e-09
699.612 5.47864e-19 -6.28398e-23 2.68156e-13 -5.26613e-09
699.603 5.59458e-19 -6.39682e-23 2.73824e-13 -5.36035e-09
699.595 5.71059e-19 -6.50891e-23 2.79495e-13 -5.45394e-09
699.586 5.82669e-19 -6.62026e-23 2.8517e-13 -5.5469e-09
699.577 5.94285e-19 -6.73087e-23 2.90848e-13 -5.63921e-09
699.568 6.05909e-19 -6.84073e-23 2.96529e-13 -5.7309e-09
699.559 6.17541e-19 -6.94984e-23 3.02214e-13 -5.82194e-09
699.551 6.2918e-19 -7.05821e-23 3.07902e-13 -5.91235e-09
699.542 6.40826e-19 -7.16583e-23 3.13594e-13 -6.00212e-09
699.533 6.5248e-19 -7.27271e-23 3.19289e-13 -6.09125e-09
699.524 6.64141e-19 -7.37884e-23 3.24987e-13 -6.17975e-09
699.515 6.7581e-19 -7.48421e-23 3.30689e-13 -6.26761e-09
699.506 6.87487e-19 -7.58885e-23 3.36394e-13 -6.35483e-09
699.498 6.99171e-19 -7.69273e-23 3.42102e-13 -6.44142e-09
699.489 7.10862e-19 -7.79586e-23 3.47814e-13 -6.52737e-09
699.48 7.22561e-19 -7.89825e-23 3.53529e-13 -6.61267e-09
